l1,l2,l3,l4,l5,l6
5.900504677022138,-0.9582863435923111,-11.688915953493506,-0.9167836741460788,5.788411276471372,1.8750700177383899
5.966060465409777,-0.9347142991697859,-11.818240435037676,-0.8925481386379573,5.852179969627904,1.8272624378077433
6.03180157229027,-0.9110770028779144,-11.947926716505396,-0.8682440340346593,5.916125144215131,1.7793210369125738
6.097716860165478,-0.8873784828434115,-12.07795276394469,-0.8438754771691306,5.980235903779217,1.731253960012542
6.163794986052212,-0.863622840919526,-12.208296138473886,-0.8194466608882673,6.044501152421678,1.6830695018077935
6.230024408368395,-0.8398142504847846,-12.338934009363252,-0.7949618514243728,6.108909600994861,1.6347761019091576
6.296393393719912,-0.815956953591963,-12.469843168140727,-0.7704253860336601,6.17344977442082,1.5863823396256231
6.3628900247124855,-0.7920552585300674,-12.601000043453004,-0.7458416699425225,6.238110018740523,1.53789692847259
6.42950220771146,-0.7681135366959498,-12.732380716959401,-0.7212151735982135,6.302878509247946,1.4893287102941635
6.496217681491971,-0.7441362197720165,-12.863960939660664,-0.6965504294424889,6.367743258168698,1.4406866492145054
6.563024025293413,-0.7201277965288553,-12.995716148661739,-0.6718520289383088,6.432692123368331,1.391979825467164
6.6299086683554185,-0.696092809584521,-13.12762148551986,-0.6471246189982651,6.497712817164447,1.343217428582786
6.696858899220219,-0.6720358520684644,-13.259651814691194,-0.6223728985478943,6.562792915470981,1.2944087506163586
6.763861875364411,-0.6479615639008567,-13.391781742653928,-0.5976016151303472,6.627919867289522,1.2455631790312038
6.83090463312673,-0.6238746284856869,-13.52398563751859,-0.5728155609812762,6.693081004391867,1.196690189466963
6.897974098491549,-0.5997797687799377,-13.656237650038499,-0.5480195692063384,6.758263551546956,1.147799337986276
6.965057097311812,-0.5756817434991579,-13.788511734044766,-0.5232185099930381,6.82345463673296,1.0989002534921959
7.032140366014737,-0.551585343149393,-13.920781668231458,-0.49841728654713113,6.888641302216727,1.050002629696524
7.099210563446052,-0.527495386053854,-14.053021078255485,-0.4736208309075252,6.95381051480944,1.001116216961379
7.1662542817521055,-0.5034167141713469,-14.18520345940936,-0.4488340996902285,7.018949177657261,0.9522508138615751
7.23325805831856,-0.47935418894959714,-14.31730219947993,-0.42406206985181605,7.0840441411613755,0.9034162588014127
7.300208387379722,-0.45531268710628353,-14.449290601904137,-0.39930973432126926,7.149082214524421,0.8546224214275523
7.367091731925932,-0.4312970961699728,-14.58114190961147,-0.37458209759955846,7.214050177685544,0.8058791937695308
7.433894535889286,-0.4073123102843752,-14.712829328584224,-0.3498841713395255,7.278934792694945,0.7571964816239002
7.500603236668721,-0.38336322564025926,-14.8443260528212,-0.32522096963653113,7.343722816152486,0.7085841952767898
7.567204277054365,-0.3594547360507623,-14.975605288258931,-0.30059750456159073,7.408401011204574,0.6600522406123525
7.633684117793798,-0.33559172864789766,-15.106640276896853,-0.2760187816035262,7.472956159103061,0.6116105102514233
7.7000292501096,-0.3117790790509314,-15.237404322275061,-0.25148979503236757,7.537375072165467,0.5632688740832984
7.766226208015015,-0.28802164710126654,-15.367870813496351,-0.22701552342461948,7.601644605481344,0.5150371705258854
7.832261581385274,-0.26432427240061235,-15.498013250527409,-0.20260092455489753,7.665751669142142,0.46692519695550927
7.898122027417862,-0.24069176963689,-15.627805267556527,-0.17825093160659233,7.729683240138672,0.41894270124348176
7.963794283771776,-0.21712892387364766,-15.757220659539612,-0.1539704479289266,7.793426375767845,0.3710993718025737
8.029265180727215,-0.19364048705056908,-15.886233403950948,-0.1297643426605876,7.856968223223742,0.3234048297111561
8.094521653636518,-0.17023117252647232,-16.01481768751509,-0.10563744623875808,7.920296033878583,0.27586861876522983
8.159550753968581,-0.1469056511158725,-16.142947928312093,-0.0815945460458232,7.983397174343522,0.22850019716169515
8.2243396626722,-0.123668546730481,-16.270598799886123,-0.05764038180350897,8.046259137213932,0.18130892853398942
8.288875700253447,-0.10052443219490928,-16.39774525482068,-0.03377964161290535,8.108869554567242,0.13430407380781406
